"","Institution","Year","Month","use_of_force","inmate_count","uof_per_1000"
"411","HDSP",2013,"Apr",18,3360,5.35714285714286
"412","KVSP",2013,"Apr",33,3702,8.91410048622366
"413","LAC",2013,"Apr",35,3758,9.31346460883449
"414","PBSP",2013,"Apr",18,2872,6.26740947075209
"415","SAC",2013,"Apr",35,2240,15.625
"416","SVSP",2013,"Apr",40,3497,11.4383757506434
"417","CCI",2013,"May",14,4592,3.04878048780488
"418","COR",2013,"May",28,4394,6.37232589895312
"419","HDSP",2013,"May",20,3295,6.06980273141123
"420","KVSP",2013,"May",32,3715,8.61372812920592
"421","LAC",2013,"May",48,3743,12.8239380176329
"422","PBSP",2013,"May",20,2860,6.99300699300699
"423","SAC",2013,"May",38,2202,17.2570390554042
"424","SVSP",2013,"May",45,3475,12.9496402877698
"425","CCI",2013,"Jun",12,4579,2.62065953264905
"426","COR",2013,"Jun",25,4423,5.6522722134298
"427","HDSP",2013,"Jun",21,3261,6.43974241030359
"428","KVSP",2013,"Jun",37,3685,10.0407055630936
"429","LAC",2013,"Jun",24,3679,6.52351182386518
"430","PBSP",2013,"Jun",18,2831,6.35817732250088
"431","SAC",2013,"Jun",35,2181,16.0476845483723
"432","SVSP",2013,"Jun",49,3487,14.0521938629194
"433","CCI",2013,"Jul",17,4568,3.7215411558669
"434","COR",2013,"Jul",23,4268,5.38894095595127
"435","HDSP",2013,"Jul",29,3287,8.82263462123517
"436","KVSP",2013,"Jul",42,3698,11.3574905354246
"437","LAC",2013,"Jul",38,3623,10.488545404361
"438","PBSP",2013,"Jul",20,2820,7.09219858156028
"439","SAC",2013,"Jul",31,2237,13.857845328565
"440","SVSP",2013,"Jul",58,3527,16.4445704564786
"441","CCI",2013,"Aug",24,4704,5.10204081632653
"442","COR",2013,"Aug",33,4342,7.60018424689083
"443","HDSP",2013,"Aug",25,3305,7.5642965204236
"444","KVSP",2013,"Aug",41,3725,11.006711409396
"445","LAC",2013,"Aug",53,3659,14.48483192129
"446","PBSP",2013,"Aug",14,2694,5.19673348181143
"447","SAC",2013,"Aug",27,2165,12.4711316397229
"448","SVSP",2013,"Aug",43,3520,12.2159090909091
"449","CCI",2013,"Sep",16,4731,3.38194884802367
"450","COR",2013,"Sep",21,4380,4.79452054794521
"451","HDSP",2013,"Sep",10,3334,2.99940011997601
"452","KVSP",2013,"Sep",34,3711,9.16195095661547
"453","LAC",2013,"Sep",24,3716,6.45855758880517
"454","PBSP",2013,"Sep",18,2716,6.62739322533137
